resp_id,usid,fixed_set,periodic_set,military_region,province,district,village,hamlet,year,month,resp_num,sex,sex_num,security_score,security_num,question_num,response_code,blacklisted,age_num,mar_num,eth_num
101030302_710702,101030302,710702FB0,0002B,1,01,03,03,02,71,07,02,F,1,B,1,0002,B,0,30,0,1
101030302_710703,101030302,710703MB0,0002B,1,01,03,03,02,71,07,03,M,0,B,1,0002,B,0,30,0,1
101030302_710704,101030302,710704MB0,0002B,1,01,03,03,02,71,07,04,M,0,B,1,0002,B,0,30,1,1
101030302_710705,101030302,710705FB0,0002B,1,01,03,03,02,71,07,05,F,1,B,1,0002,B,0,30,2,1
101030303_710401,101030303,710401MB0,0002B,1,01,03,03,03,71,04,01,M,0,B,1,0002,B,0,30,0,1
101030303_710402,101030303,710402FB0,0002B,1,01,03,03,03,71,04,02,F,1,B,1,0002,B,0,30,2,1
101030303_710403,101030303,710403FB0,0002B,1,01,03,03,03,71,04,03,F,1,B,1,0002,B,0,30,0,1
101030303_710404,101030303,710404FB0,0002B,1,01,03,03,03,71,04,04,F,1,B,1,0002,B,0,30,2,1
101030303_710405,101030303,710405MB0,0002B,1,01,03,03,03,71,04,05,M,0,B,1,0002,B,0,30,0,1
101030303_710701,101030303,710701FB0,0002B,1,01,03,03,03,71,07,01,F,1,B,1,0002,B,0,30,0,1
101030303_710702,101030303,710702MB0,0002B,1,01,03,03,03,71,07,02,M,0,B,1,0002,B,0,30,0,1
101030303_710703,101030303,710703FB0,0002B,1,01,03,03,03,71,07,03,F,1,B,1,0002,B,0,30,0,1
101030303_710704,101030303,710704FB0,0002B,1,01,03,03,03,71,07,04,F,1,B,1,0002,B,0,30,1,1
101030303_710705,101030303,710705MB0,0002B,1,01,03,03,03,71,07,05,M,0,B,1,0002,B,0,30,0,1
101030305_720301,101030305,720301FB0,0002B,1,01,03,03,05,72,03,01,F,1,B,1,0002,B,0,30,0,1
101030305_720302,101030305,720302MB0,0002B,1,01,03,03,05,72,03,02,M,0,B,1,0002,B,0,30,0,1
101030305_720303,101030305,720303FB0,0002B,1,01,03,03,05,72,03,03,F,1,B,1,0002,B,0,30,2,1
101030305_720304,101030305,720304FB0,0002B,1,01,03,03,05,72,03,04,F,1,B,1,0002,B,0,30,2,1
101030305_720305,101030305,720305FB0,0002B,1,01,03,03,05,72,03,05,F,1,B,1,0002,B,0,30,0,1
101030306_710701,101030306,710701MA0,0002A,1,01,03,03,06,71,07,01,M,0,A,0,0002,A,0,20,0,1
101030306_710702,101030306,710702FA0,0002A,1,01,03,03,06,71,07,02,F,1,A,0,0002,A,0,20,2,1
101030306_710703,101030306,710703MA0,0002A,1,01,03,03,06,71,07,03,M,0,A,0,0002,A,0,20,0,1
101030306_710704,101030306,710704FA0,0002A,1,01,03,03,06,71,07,04,F,1,A,0,0002,A,0,20,2,1
101030306_710705,101030306,710705MA0,0002A,1,01,03,03,06,71,07,05,M,0,A,0,0002,A,0,20,0,1
101030306_720301,101030306,720301FB0,0002B,1,01,03,03,06,72,03,01,F,1,B,1,0002,B,0,30,2,1
101030306_720302,101030306,720302FB0,0002B,1,01,03,03,06,72,03,02,F,1,B,1,0002,B,0,30,0,1
101030306_720303,101030306,720303MB0,0002B,1,01,03,03,06,72,03,03,M,0,B,1,0002,B,0,30,0,1
101030306_720304,101030306,720304MB0,0002B,1,01,03,03,06,72,03,04,M,0,B,1,0002,B,0,30,0,1
101030306_720305,101030306,720305FB0,0002B,1,01,03,03,06,72,03,05,F,1,B,1,0002,B,0,30,2,1
101030307_710401,101030307,710401MB0,0002B,1,01,03,03,07,71,04,01,M,0,B,1,0002,B,0,30,0,1
101030307_710402,101030307,710402FB0,0002B,1,01,03,03,07,71,04,02,F,1,B,1,0002,B,0,30,0,1
101030307_710403,101030307,710403FB0,0002B,1,01,03,03,07,71,04,03,F,1,B,1,0002,B,0,30,1,1
101030307_710404,101030307,710404MB0,0002B,1,01,03,03,07,71,04,04,M,0,B,1,0002,B,0,30,0,1
101030307_710405,101030307,710405FB0,0002B,1,01,03,03,07,71,04,05,F,1,B,1,0002,B,0,30,0,1
101030401_711201,101030401,711201MB0,0002B,1,01,03,04,01,71,12,01,M,0,B,1,0002,B,0,30,0,1
101030401_711202,101030401,711202MB0,0002B,1,01,03,04,01,71,12,02,M,0,B,1,0002,B,0,30,0,1
101030401_711203,101030401,711203MB0,0002B,1,01,03,04,01,71,12,03,M,0,B,1,0002,B,0,30,2,1
101030401_711204,101030401,711204MB0,0002B,1,01,03,04,01,71,12,04,M,0,B,1,0002,B,0,30,0,1
101030401_711205,101030401,711205FB0,0002B,1,01,03,04,01,71,12,05,F,1,B,1,0002,B,0,30,0,1
101030601_720201,101030601,720201MA0,0002A,1,01,03,06,01,72,02,01,M,0,A,0,0002,A,0,20,0,1
101030601_720202,101030601,720202MA0,0002A,1,01,03,06,01,72,02,02,M,0,A,0,0002,A,0,20,0,1
101030601_720203,101030601,720203FA0,0002A,1,01,03,06,01,72,02,03,F,1,A,0,0002,A,0,20,2,1
101030601_720204,101030601,720204MA0,0002A,1,01,03,06,01,72,02,04,M,0,A,0,0002,A,0,20,2,1
101030601_720205,101030601,720205FA0,0002A,1,01,03,06,01,72,02,05,F,1,A,0,0002,A,0,20,0,1
101030609_720201,101030609,720201MA0,0002A,1,01,03,06,09,72,02,01,M,0,A,0,0002,A,0,20,0,1
101030609_720202,101030609,720202MA0,0002A,1,01,03,06,09,72,02,02,M,0,A,0,0002,A,0,20,0,1
101030609_720203,101030609,720203FA0,0002A,1,01,03,06,09,72,02,03,F,1,A,0,0002,A,0,20,2,1
101030609_720204,101030609,720204MA0,0002A,1,01,03,06,09,72,02,04,M,0,A,0,0002,A,0,20,0,1
101030609_720205,101030609,720205FA0,0002A,1,01,03,06,09,72,02,05,F,1,A,0,0002,A,0,20,0,1
101030801_711001,101030801,711001MB0,0002B,1,01,03,08,01,71,10,01,M,0,B,1,0002,B,0,30,0,1
101030801_711002,101030801,711002MB0,0002B,1,01,03,08,01,71,10,02,M,0,B,1,0002,B,0,30,0,1
101030801_711003,101030801,711003FB0,0002B,1,01,03,08,01,71,10,03,F,1,B,1,0002,B,0,30,0,1
101030801_711004,101030801,711004FB0,0002B,1,01,03,08,01,71,10,04,F,1,B,1,0002,B,0,30,0,1
101030801_711005,101030801,711005FB0,0002B,1,01,03,08,01,71,10,05,F,1,B,1,0002,B,0,30,0,1
101030802_720101,101030802,720101FB0,0002B,1,01,03,08,02,72,01,01,F,1,B,1,0002,B,0,30,0,1
101030802_720102,101030802,720102MB0,0002B,1,01,03,08,02,72,01,02,M,0,B,1,0002,B,0,30,0,1
101030802_720103,101030802,720103MB0,0002B,1,01,03,08,02,72,01,03,M,0,B,1,0002,B,0,30,0,1
101030802_720104,101030802,720104MB0,0002B,1,01,03,08,02,72,01,04,M,0,B,1,0002,B,0,30,0,1
101030802_720105,101030802,720105MB0,0002B,1,01,03,08,02,72,01,05,M,0,B,1,0002,B,0,30,0,1
101030803_720101,101030803,720101MB0,0002B,1,01,03,08,03,72,01,01,M,0,B,1,0002,B,0,30,0,1
101030803_720102,101030803,720102FB0,0002B,1,01,03,08,03,72,01,02,F,1,B,1,0002,B,0,30,1,1
101030803_720103,101030803,720103FB0,0002B,1,01,03,08,03,72,01,03,F,1,B,1,0002,B,0,30,2,1
101030803_720104,101030803,720104MB0,0002B,1,01,03,08,03,72,01,04,M,0,B,1,0002,B,0,30,0,1
101030803_720105,101030803,720105MB0,0002B,1,01,03,08,03,72,01,05,M,0,B,1,0002,B,0,30,0,1
101030901_720101,101030901,720101MA0,0002A,1,01,03,09,01,72,01,01,M,0,A,0,0002,A,0,20,0,1
101030901_720102,101030901,720102MA0,0002A,1,01,03,09,01,72,01,02,M,0,A,0,0002,A,0,20,0,1
101030901_720103,101030901,720103FA0,0002A,1,01,03,09,01,72,01,03,F,1,A,0,0002,A,0,20,2,1
101030901_720104,101030901,720104FA0,0002A,1,01,03,09,01,72,01,04,F,1,A,0,0002,A,0,20,0,1
101030901_720105,101030901,720105FA0,0002A,1,01,03,09,01,72,01,05,F,1,A,0,0002,A,0,20,0,1
101030902_720201,101030902,720201MA0,0002A,1,01,03,09,02,72,02,01,M,0,A,0,0002,A,0,20,0,1
101030902_720202,101030902,720202MA0,0002A,1,01,03,09,02,72,02,02,M,0,A,0,0002,A,0,20,0,1
101030902_720203,101030902,720203FA0,0002A,1,01,03,09,02,72,02,03,F,1,A,0,0002,A,0,20,0,1
101030902_720204,101030902,720204FA0,0002A,1,01,03,09,02,72,02,04,F,1,A,0,0002,A,0,20,2,1
101030902_720205,101030902,720205FA0,0002A,1,01,03,09,02,72,02,05,F,1,A,0,0002,A,0,20,0,1
101030907_720201,101030907,720201MA0,0002A,1,01,03,09,07,72,02,01,M,0,A,0,0002,A,0,20,0,1
101030907_720202,101030907,720202MA0,0002A,1,01,03,09,07,72,02,02,M,0,A,0,0002,A,0,20,0,1
101030907_720203,101030907,720203FA0,0002A,1,01,03,09,07,72,02,03,F,1,A,0,0002,A,0,20,2,1
101030907_720204,101030907,720204FA0,0002A,1,01,03,09,07,72,02,04,F,1,A,0,0002,A,0,20,2,1
101030907_720205,101030907,720205FA0,0002A,1,01,03,09,07,72,02,05,F,1,A,0,0002,A,0,20,2,1
101031001_710501,101031001,710501MB0,0002B,1,01,03,10,01,71,05,01,M,0,B,1,0002,B,0,30,0,1
101031001_710502,101031001,710502MB0,0002B,1,01,03,10,01,71,05,02,M,0,B,1,0002,B,0,30,0,1
101031001_710503,101031001,710503MB0,0002B,1,01,03,10,01,71,05,03,M,0,B,1,0002,B,0,30,0,1
101031001_710504,101031001,710504MB0,0002B,1,01,03,10,01,71,05,04,M,0,B,1,0002,B,0,30,0,1
101031001_710505,101031001,710505MB0,0002B,1,01,03,10,01,71,05,05,M,0,B,1,0002,B,0,30,0,1
101031002_710501,101031002,710501MB0,0002B,1,01,03,10,02,71,05,01,M,0,B,1,0002,B,0,30,0,1
101031002_710502,101031002,710502FB0,0002B,1,01,03,10,02,71,05,02,F,1,B,1,0002,B,0,30,0,1
101031002_710503,101031002,710503MB0,0002B,1,01,03,10,02,71,05,03,M,0,B,1,0002,B,0,30,0,1
101031002_710504,101031002,710504FB0,0002B,1,01,03,10,02,71,05,04,F,1,B,1,0002,B,0,30,1,1
