id,latitude,longitude,protestant,pop
1101021001,54.5,21.200000762939453,1,9962
1101022002,53.783329010009766,20.48332977294922,0,8501
1101023003,54.4,22.016667,1,5325
1101024004,54.21670150756836,21.75,1,7787
1101025005,53.805599212646484,21.94580078125,1,5152
1101025006,54.216670989990234,21.350000381469727,1,7042
1101026007,54.25,20.816699981689453,1,6810
1101027008,53.86669921875,20.966699600219727,0,9129
1101029009,54.086669921875,20.909439086914062,0,7642
1101030010,53.5005989074707,19.35059928894043,1,9810
1101031011,54.38330078125,19.816699981689453,0,5092
1101033012,53.93330001831055,19.350000381469727,0,6160
1101034013,54.349998474121094,18.66670036315918,1,36868
1101039014,53.599998474121094,19.566699981689453,1,6653
1101040015,54.43330001831055,20.83329963684082,1,6626
1101041016,54.213600158691406,21.520599365234375,1,8038
1101041017,54.63059997558594,22.573299407958984,1,5035
1101042018,54.16669845581055,19.399999618530273,1,18750
1101047019,54.63888931274414,22.733060836791992,1,5705
1101048020,54.733299255371094,20.016700744628906,1,5416
1101050021,54.356998443603516,19.680999755859375,0,8481
1101051022,53.599998474121094,19.266700744628906,1,7333
1101052023,54.43330001831055,21.033300399780273,1,6948
1101053024,53.599998474121094,18.933000564575195,1,9471
1101054025,53.616668701171875,22.066669464111328,1,8354
1101054026,54.36109924316406,21.31170082092285,1,8033
1101055027,53.43330001831055,20.033300399780273,1,7257
1101056028,54.31610107421875,22.30940055847168,1,7140
1101057029,54.599998474121094,22.200000762939453,1,9912
1101058030,53.983299255371094,20.399999618530273,0,5534
1101059031,54.46390151977539,19.9414005279541,1,7753
1101061032,54.11669921875,20.58329963684082,0,6818
1101064033,53.58330154418945,20.283300399780273,1,5936
1101065034,54.634700775146484,21.811899185180664,1,5971
1101067035,53.63330078125,21.799999237060547,1,9631
1101068036,54.71670150756836,20.516700744628906,1,11560
1101073037,54.5,20.450000762939453,1,8314
1101075038,54.8619384765625,21.10527992248535,1,6597
1101076039,54.28466,20.493722000000002,1,6665
1101077040,53.766700744628906,19.83329963684082,1,5923
1101078041,54,20.066699981689453,1,9552
1101079042,54.04999923706055,21.766700744628906,1,7751
1101079043,53.83330154418945,22.350000381469727,1,9418
1101084046,54.233299255371094,20.13330078125,0,6844
1101086047,53.91669845581055,19.933300018310547,1,7085
1101087048,54.18830108642578,19.725000381469727,0,5521
1101087049,53.36669921875,20.433300018310547,1,7619
1101088050,54.133331298828125,19.01667022705078,0,5878
1101089051,53.79999923706055,21.58329963684082,1,6735
1101090052,54.33000183105469,21.549169540405273,1,8970
1101090053,53.56669998168945,20.983299255371094,1,7649
1101091054,53.70000076293945,19.983299255371094,1,7322
1101092055,53.64780044555664,20.790800094604492,1,6322
1101094056,54.650001525878906,19.91670036315918,1,5369
1101095057,54.43360900878906,20.40443992614746,1,5190
1101096058,54.06669998168945,19.66670036315918,1,5180
1101097059,55.03329849243164,22.033300399780273,1,5915
1101097060,54.08330154418945,21.38330078125,1,6018
1101099061,53.93330001831055,21.549999237060547,1,9327
1101100062,53.75579833984375,19.197500228881836,1,5225
1101101063,54.04999923706055,21.149999618530273,0,6492
1101103064,53.720001220703125,19.337200164794922,1,6269
1101104065,53.846099853515625,19.610300064086914,1,5236
1101105066,54.266700744628906,21.016700744628906,1,6337
1101105067,54.781898498535156,22.84469985961914,1,5567
1101106068,54.766700744628906,22.516700744628906,1,7808
1101106069,53.974998474121094,20.746700286865234,0,7284
1101107070,53.86669921875,21.299999237060547,1,8051
1101108071,53.93330001831055,19.033300399780273,0,5159
1101109072,54.66669845581055,21.08329963684082,1,7424
1101110073,54.21670150756836,19.11669921875,0,5444
1101111074,55.08330154418945,21.88330078125,1,6720
1101112075,54.31669998168945,19.516700744628906,0,9451
1101113076,54.03329849243164,22.5,1,7436
1101113077,53.83332824707031,20.700000762939453,0,8239
1101114078,54.61669921875,21.216699600219727,1,5103
1101116079,54.39780044555664,20.943099975585938,1,7218
1101116080,54.11669921875,20.13330078125,0,6456
1101117081,54.45000076293945,20.299999237060547,1,6370
1101119082,54.45000076293945,18.566699981689453,0,7026
1102133001,53.38333511352539,14.649999618530273,1,7649
1102137003,53.16666793823242,15.399999618530273,1,5910
1102139004,53.733333587646484,16.350000381469727,1,5653
1102139005,53.099998474121094,14.649999618530273,1,7578
1102141006,53.88333511352539,16.83333396911621,1,5956
1102142007,54.36666488647461,12.716666221618652,1,7020
1102145008,54,15.983333587646484,1,8926
1102147009,54.41666793823242,13.433333396911621,1,7864
1102148010,53.95000076293945,16.58333396911621,1,8480
1102149011,54.13333511352539,17.5,1,5200
1102151012,53.58333206176758,15.300000190734863,1,5717
1102152013,54.25,12.466666221618652,1,9709
1102153014,53.900001525878906,13.050000190734863,1,9769
1102154015,53.266666412353516,16.46666717529297,1,7185
1102157016,53.53333282470703,15.800000190734863,1,7814
1102158017,52.83333206176758,15.833333015441895,1,8373
1102159018,53.53333282470703,16,1,9538
1102160019,53.13333511352539,14.383333206176758,1,6497
1102161020,53.36666488647461,17.03333282470703,0,7059
1102163021,54.16666793823242,12.866666793823242,1,9327
1102164022,53.46666717529297,15.350000381469727,1,6784
1102165023,52.88333511352539,15.516666412353516,1,6748
1102167024,53.20000076293945,14.383333206176758,1,5020
1102168025,54.31666564941406,13.350000381469727,1,7174
1102169026,53.54999923706055,14.816666603088379,1,7546
1102170027,53.900001525878906,15.199999809265137,1,9300
1102172028,53.25,14.483333587646484,1,7481
1102178030,54.11666488647461,13.033333778381348,1,6432
1102179031,53.95000076293945,13.416666984558105,1,5734
1102181032,53.68333435058594,16.950000762939453,0,5852
1102182033,53.349998474121094,15.433333396911621,1,5947
1102182034,53.91666793823242,13.333333015441895,1,6910
1102183035,53.41666793823242,16.816667556762695,0,5014
1102184036,53.28333282470703,15.899999618530273,1,6837
1102184037,53.96666717529297,14.766666412353516,1,7605
1102186038,54.03333282470703,15.883333206176758,1,9861
1102187039,54.18333435058594,16.183332443237305,1,7843
