folio,hog_num_personas_o98,jefe_edad_o98,hog_num_young_o98,hog_mean_sick_o98,hog_num_schoolage_o98,hog_mean_missed_o98,hog_num_personas_n99,jefe_edad_n99,hog_num_young_n99,hog_mean_sick_n99,hog_num_schoolage_n99,hog_mean_missed_n99,hog_income_o98,jefe_ag_worker_o98,jefe_dialect_o98,jefe_nivel_esc_o98,jefe_grado_esc_o98,jefe_ms_o98,jefe_hs_o98,hog_gasto_o98,hog_gasto_n99,hog_grado_pobreza,hog_indice_pobreza,hog_contba,hog_treatment
211502,6,38,2,3,2,0,6,39,1,0,3,0,150,FALSE,2,2,4,FALSE,FALSE,150,180,5,1.04076,2,FALSE
211506,4,26,1,8,1,3,4,28,1,99,1,0,100,FALSE,2,1,1,FALSE,FALSE,100,100,5,1.04076,2,FALSE
211507,5,23,2,0,1,0,5,26,2,0,1,0,100,FALSE,2,2,6,FALSE,FALSE,100,180,5,1.04076,2,FALSE
211514,5,33,2,8,1,3,5,33,2,0,1,0,200,TRUE,2,2,4,FALSE,FALSE,200,240,5,1.04076,2,FALSE
211516,7,44,1,3,3,0,7,46,1,0,1,2,100,TRUE,2,1,3,FALSE,FALSE,100,150,5,1.04076,2,FALSE
211521,9,38,4,0.75,4,0.75,9,40,2,0,5,0,150,TRUE,2,1,1,FALSE,FALSE,150,150,5,1.04076,2,FALSE
211526,9,44,5,0,4,0,9,43,2,0,4,0,100,TRUE,2,2,5,FALSE,FALSE,100,150,5,1.04076,2,FALSE
211738,8,39,4,0,3,0,8,NA,3,1,4,0,220,TRUE,1,2,5,FALSE,FALSE,220,100,5,1.41141,2,FALSE
211740,9,45,3,0,3,0,8,45,1,0,3,0,100,TRUE,1,2,1,FALSE,FALSE,100,110,5,1.41141,2,FALSE
211833,4,30,1,2,1,0,4,32,1,0,1,0,200,TRUE,2,2,6,FALSE,FALSE,200,150,5,1.04076,2,FALSE
211842,6,32,3,0,1,0,5,32,2,0,1,0,200,TRUE,2,1,1,FALSE,FALSE,200,250,5,1.04076,2,FALSE
211843,8,33,3,0,3,0,8,34,2,0,4,0,100,FALSE,2,2,6,FALSE,FALSE,100,200,5,1.04076,2,FALSE
211860,6,34,1,0,3,0,6,34,1,0,3,0,200,FALSE,2,2,5,FALSE,FALSE,200,200,4,-0.33439,2,FALSE
211871,10,39,3,0,5,0,10,41,2,0,4,0,200,TRUE,2,2,6,FALSE,FALSE,200,350,4,-0.33439,2,FALSE
211882,10,48,2,0,1,0,4,48,1,0,1,0,200,TRUE,2,2,6,FALSE,FALSE,200,150,4,-0.33439,2,FALSE
212496,5,70,2,5,1,4,5,70,2,3.5,1,0,40,FALSE,1,2,2,FALSE,FALSE,40,50,5,0.57851,2,FALSE
220828,6,32,2,0.5,2,0,6,33,2,4,2,0,250,TRUE,2,2,1,FALSE,FALSE,250,250,5,0.04794,1,TRUE
220908,5,25,2,1.5,2,0,5,27,1,0,3,0.3333333333333333,100,FALSE,2,1,3,FALSE,FALSE,100,70,5,0.04794,1,TRUE
220909,13,47,4,1,2,0,10,48,4,0.75,2,0,300,FALSE,2,3,2,TRUE,FALSE,300,200,5,0.04794,1,TRUE
220922,9,41,2,4,4,0,9,41,2,3.5,3,0,150,TRUE,2,2,4,FALSE,FALSE,150,200,5,0.04794,1,TRUE
220923,10,48,2,5.5,4,0.25,10,48,2,11.5,4,0,250,FALSE,2,2,2,FALSE,FALSE,250,180,5,0.04794,1,TRUE
220925,6,38,1,0,3,0,6,38,1,0,3,0,200,FALSE,2,2,6,FALSE,FALSE,200,200,5,0.04794,1,TRUE
220928,4,25,1,0,1,0,4,26,1,0,1,0,200,FALSE,2,2,3,FALSE,FALSE,200,250,5,0.04794,1,TRUE
220938,8,37,1,0,5,0,8,38,1,4,4,0,200,FALSE,2,2,6,FALSE,FALSE,200,150,5,0.04794,1,TRUE
221440,15,52,2,0,1,0,15,55,1,0,2,0,300,FALSE,2,3,3,TRUE,FALSE,300,800,4,-0.47771,2,FALSE
221500,9,56,1,0,1,0,4,56,1,0,1,0,100,TRUE,2,2,2,FALSE,FALSE,100,150,4,-0.47771,2,FALSE
221865,12,46,3,0.3333333333333333,4,0,11,49,2,0,5,0,350,TRUE,2,2,6,FALSE,FALSE,350,200,5,0.21184,1,TRUE
221879,5,25,3,1,1,0,6,26,3,1.3333333333333333,1,0,150,TRUE,2,3,3,TRUE,FALSE,150,200,5,0.21184,1,TRUE
221900,7,33,1,0,4,0,7,33,1,0,4,24.75,200,TRUE,2,1,1,FALSE,FALSE,200,200,5,0.21184,1,TRUE
222083,6,35,1,15,3,0,6,30,1,15,2,0,50,TRUE,1,2,2,FALSE,FALSE,50,60,5,2.21773,1,TRUE
222209,5,49,1,0,2,0,5,45,1,0,2,0,200,TRUE,1,2,2,FALSE,FALSE,200,200,5,1.19153,1,TRUE
222211,7,33,3,1.3333333333333333,3,0,7,36,2,0,3,0,150,TRUE,1,2,1,FALSE,FALSE,150,100,5,1.19153,1,TRUE
222216,12,46,3,2.3333333333333335,4,0,8,47,1,0,3,0,200,TRUE,1,2,4,FALSE,FALSE,200,200,5,1.19153,1,TRUE
222219,4,34,1,0,1,0,4,35,1,6,1,0,50,TRUE,1,2,3,FALSE,FALSE,50,130,5,1.19153,1,TRUE
222220,5,34,2,0,2,0.5,5,36,1,0,2,0,50,TRUE,1,2,2,FALSE,FALSE,50,250,5,1.19153,1,TRUE
222223,8,38,2,0,4,1.75,9,39,3,2.6666666666666665,4,0,100,TRUE,1,2,2,FALSE,FALSE,100,150,5,1.19153,1,TRUE
222225,10,49,2,0,4,0,7,50,2,3,3,0.6666666666666666,100,FALSE,1,2,2,FALSE,FALSE,100,200,5,1.19153,1,TRUE
222228,6,34,2,0,2,0,6,34,2,0,2,5,152,FALSE,1,2,3,FALSE,FALSE,152,70,5,1.19153,1,TRUE
222300,8,40,1,0,5,0,7,42,1,0,4,0,130,TRUE,1,2,5,FALSE,FALSE,130,250,5,0.74346,1,TRUE
222303,7,35,1,0,5,0,8,36,1,15,4,0,80,FALSE,1,2,4,FALSE,FALSE,80,280,5,0.74346,1,TRUE
222304,7,34,2,3,1,0,8,37,2,3.5,2,0,999,FALSE,1,2,1,FALSE,FALSE,9888,200,5,0.74346,1,TRUE
222305,8,32,3,1,3,0,9,32,3,0,4,0,100,TRUE,1,2,6,FALSE,FALSE,100,400,5,0.74346,1,TRUE
222306,5,34,1,0,2,0,4,34,1,2,1,5,150,TRUE,1,2,2,FALSE,FALSE,150,170,5,0.74346,1,TRUE
222312,12,49,2,0,5,0.4,12,52,2,0,4,0,150,FALSE,1,3,1,TRUE,FALSE,150,800,5,0.74346,1,TRUE
222551,4,33,1,0,1,0,5,34,2,0,1,0,999,TRUE,1,2,1,FALSE,FALSE,9888,100,5,1.31946,1,TRUE
222553,5,32,1,3,2,0,5,34,1,0,2,0,50,FALSE,1,2,1,FALSE,FALSE,50,50,5,1.31946,1,TRUE
222598,4,33,1,18,1,0,5,36,1,0,2,4,999,TRUE,1,3,3,TRUE,FALSE,9888,100,5,0.31647,2,FALSE
222616,5,76,1,1,2,0,5,78,1,0,2,0,100,TRUE,1,2,2,FALSE,FALSE,100,200,5,0.31647,2,FALSE
222617,9,46,1,8,3,0.6666666666666666,9,47,1,0,3,0,70,TRUE,2,2,6,FALSE,FALSE,70,200,5,0.31647,2,FALSE
222636,6,28,2,14,1,0,6,30,1,0,2,0,50,TRUE,1,1,1,FALSE,FALSE,50,200,5,0.31647,2,FALSE
222637,5,29,2,2,1,0,5,30,2,0,1,1,50,TRUE,1,2,2,FALSE,FALSE,50,100,5,0.31647,2,FALSE
222640,6,33,4,1.5,1,1,7,35,4,0,1,0,60,FALSE,1,2,1,FALSE,FALSE,60,180,5,0.31647,2,FALSE
222647,7,40,2,0,4,0,7,43,1,0,4,0,100,TRUE,1,2,5,FALSE,FALSE,100,200,5,0.31647,2,FALSE
222653,7,34,2,0,5,0,7,35,1,0,3,0,90,FALSE,2,3,2,TRUE,FALSE,90,150,5,0.31647,2,FALSE
222676,7,56,1,0,2,0,9,72,1,0,4,0.25,100,TRUE,1,2,2,FALSE,FALSE,100,150,5,0.31647,2,FALSE
222686,8,20,2,0,4,0,9,20,3,33,4,0,200,TRUE,1,2,2,FALSE,FALSE,200,120,5,0.31647,2,FALSE
224253,7,26,3,0,2,0,7,28,3,0,2,4,150,TRUE,2,1,1,FALSE,FALSE,150,200,5,0.83362,2,FALSE
224258,7,26,1,0,3,0,7,29,1,0,3,0,250,TRUE,2,2,6,FALSE,FALSE,250,200,5,0.83362,2,FALSE
224266,10,48,1,0,4,0,12,46,3,0,3,0,100,TRUE,2,2,2,FALSE,FALSE,100,200,5,0.83362,2,FALSE
224267,7,41,2,0,3,2.3333333333333335,7,40,2,0,3,0,140,TRUE,2,2,1,FALSE,FALSE,140,180,5,0.83362,2,FALSE
224268,6,57,1,0,3,0,6,58,1,4,3,0,200,TRUE,2,2,1,FALSE,FALSE,200,150,5,0.83362,2,FALSE
224275,4,21,1,0,1,0,5,22,2,0,1,0,90,TRUE,2,2,6,FALSE,FALSE,90,150,5,0.83362,2,FALSE
224284,6,29,1,2,3,0,6,32,1,0,3,0,200,TRUE,2,2,2,FALSE,FALSE,200,200,5,0.25467,2,FALSE
224289,5,29,3,0,1,1,5,29,1,8,2,0,100,TRUE,2,2,6,FALSE,FALSE,100,100,5,0.83362,2,FALSE
224321,7,51,1,0,3,0,6,54,1,0,2,0,220,TRUE,2,2,1,FALSE,FALSE,220,250,5,0.25467,2,FALSE
224375,4,73,1,4,2,0,5,76,1,0,1,8,50,FALSE,2,2,2,FALSE,FALSE,50,300,5,0.25467,2,FALSE
224379,9,47,3,0,5,0,11,48,2,5,5,0,200,TRUE,2,2,1,FALSE,FALSE,200,350,5,0.25467,2,FALSE
224382,5,41,1,0,2,0,5,43,1,1,2,0,160,TRUE,2,2,99,FALSE,FALSE,160,100,5,0.25467,2,FALSE
224397,8,30,3,0,3,0,8,33,2,0,4,0.5,180,TRUE,2,2,3,FALSE,FALSE,180,200,5,0.25467,2,FALSE
224890,12,58,3,0,1,0,11,60,3,0,1,0,150,TRUE,2,2,6,FALSE,FALSE,150,200,4,-0.04193,1,TRUE
224912,4,39,1,0,1,0,4,39,1,0,1,0,120,FALSE,2,2,4,FALSE,FALSE,120,200,4,-0.04193,1,TRUE
224927,11,45,2,0,3,0,8,47,1,1,3,0,500,TRUE,2,5,3,TRUE,TRUE,500,350,4,-0.04193,1,TRUE
224931,10,61,3,1,4,0,7,NA,1,0,4,0,100,FALSE,2,2,5,FALSE,FALSE,100,200,4,-0.04193,1,TRUE
224933,4,28,1,15,1,1,4,30,1,0,1,0,100,TRUE,2,2,3,FALSE,FALSE,100,200,4,-0.04193,1,TRUE
224962,9,45,1,0,5,0.4,9,45,1,0,3,0,200,TRUE,2,3,1,TRUE,FALSE,200,380,4,-0.04193,1,TRUE
224966,9,45,3,0,2,0,6,46,2,0,1,10,200,FALSE,2,2,6,FALSE,FALSE,200,250,4,-0.04193,1,TRUE
225502,4,33,2,0,1,0,3,NA,1,5,1,0,100,TRUE,2,3,1,TRUE,FALSE,100,200,4,-0.04193,1,TRUE
225503,7,36,1,0,4,0,7,37,1,0,4,0,100,TRUE,2,3,3,TRUE,FALSE,100,150,4,-0.04193,1,TRUE
227017,4,33,1,0,1,0,4,34,1,0,1,0,150,TRUE,2,2,3,FALSE,FALSE,150,150,4,-0.08816,2,FALSE
227019,9,70,1,0,2,0,5,72,1,0,2,0,80,TRUE,2,2,1,FALSE,FALSE,80,100,4,-0.08816,2,FALSE
227043,5,33,2,0,1,0,5,34,1,3,2,0,150,FALSE,2,2,6,FALSE,FALSE,150,200,4,-0.08816,2,FALSE
227051,9,46,3,0,3,0,10,48,3,0,4,0,250,FALSE,2,2,5,FALSE,FALSE,250,250,4,-0.08816,2,FALSE
227061,7,39,2,1.5,3,0,5,40,1,0,2,0,50,FALSE,2,2,6,FALSE,FALSE,50,100,4,-0.08816,2,FALSE
227079,5,47,1,0,1,0,5,48,1,0,1,0,150,FALSE,2,3,3,TRUE,FALSE,150,150,4,-0.08816,2,FALSE
227081,9,68,2,4,3,0,9,70,2,1,3,0,200,TRUE,2,5,2,TRUE,TRUE,200,250,4,-0.08816,2,FALSE
227085,6,53,2,0,1,0,6,55,2,2,1,0,200,TRUE,2,2,4,FALSE,FALSE,200,170,4,-0.08816,2,FALSE
227100,8,57,1,0,3,0,10,57,2,3,3,0,200,TRUE,2,2,2,FALSE,FALSE,200,100,4,-0.08816,2,FALSE
227104,10,53,5,0,2,0,12,55,4,1.25,2,0,180,TRUE,2,2,3,FALSE,FALSE,180,350,4,-0.08816,2,FALSE
227106,8,59,2,8,4,0,9,59,3,0,4,0,150,TRUE,2,2,4,FALSE,FALSE,150,200,4,-0.08816,2,FALSE
227110,7,44,2,0,3,0,7,44,2,0,3,0,80,TRUE,2,3,1,TRUE,FALSE,80,200,4,-0.08816,2,FALSE
227117,5,40,1,0,2,0,5,42,1,0,2,0,150,FALSE,2,2,3,FALSE,FALSE,150,250,4,-0.08816,2,FALSE
227122,5,33,2,0,1,0,6,34,3,0,1,0,170,TRUE,2,2,6,FALSE,FALSE,170,170,4,-0.08816,2,FALSE
227214,7,32,2,0,4,0,7,33,1,0,4,0,130,FALSE,2,2,5,FALSE,FALSE,130,100,5,1.13761,2,FALSE
228432,8,34,2,1,5,0,8,34,1,0,5,0,200,FALSE,2,2,1,FALSE,FALSE,200,300,5,0.3498,1,TRUE
228490,9,30,2,0,4,0,8,30,2,0,4,0,200,TRUE,2,2,4,FALSE,FALSE,200,250,5,0.3498,1,TRUE
228491,6,36,1,2,3,0,7,36,1,0,4,0,60,TRUE,2,2,3,FALSE,FALSE,60,100,5,0.3498,1,TRUE
228494,8,53,2,0,3,0,9,NA,2,0,3,0,200,TRUE,2,2,3,FALSE,FALSE,200,140,5,0.3498,1,TRUE
228495,5,28,2,0,1,0,6,29,3,2.6666666666666665,1,0,300,TRUE,2,2,4,FALSE,FALSE,300,110,5,0.3498,1,TRUE
228496,6,34,1,0,3,0,7,34,2,0,3,0,300,TRUE,2,2,3,FALSE,FALSE,300,85,5,0.3498,1,TRUE
229251,4,34,1,0,1,0,4,35,1,0,1,0,200,FALSE,2,3,3,TRUE,FALSE,200,250,5,0.21974,1,TRUE
229253,9,54,1,0,2,0,8,54,1,0,3,0,200,TRUE,2,2,6,FALSE,FALSE,200,150,5,0.21974,1,TRUE
229254,5,29,1,0,2,0,5,30,1,0,2,0,999,TRUE,2,3,3,TRUE,FALSE,9888,120,5,0.21974,1,TRUE
229266,7,77,2,0,1,0,7,78,2,0,1,0,150,TRUE,2,3,2,TRUE,FALSE,150,250,5,0.21974,1,TRUE
229392,12,52,2,0,5,0,10,53,2,0,4,0,150,TRUE,2,2,3,FALSE,FALSE,150,250,5,0.39471,2,FALSE
229411,8,42,1,0,3,0.6666666666666666,9,43,2,0,2,0,999,TRUE,2,2,4,FALSE,FALSE,9888,300,5,0.39471,2,FALSE
229426,7,33,2,0,2,2,7,34,1,0,3,0,150,FALSE,2,1,3,FALSE,FALSE,150,300,5,0.39471,2,FALSE
229428,7,34,3,0,2,2,7,34,2,0,3,0,100,TRUE,2,2,2,FALSE,FALSE,100,200,5,0.39471,2,FALSE
229435,10,46,3,0.6666666666666666,3,0,10,47,2,1,3,0.6666666666666666,150,TRUE,2,2,1,FALSE,FALSE,150,200,5,1.15965,2,FALSE
229437,5,45,1,0,2,0,5,46,1,3,2,0,150,FALSE,2,2,2,FALSE,FALSE,150,200,5,1.15965,2,FALSE
229438,9,47,2,7.5,3,0,9,48,1,0,4,0,150,TRUE,2,3,3,TRUE,FALSE,150,250,5,0.39471,2,FALSE
