region,akan_prop,npp_prop,total
Ashanti,0.9321148825065274,0.7859007832898173,383
Brong-Ahafo,0.8819875776397516,0.5341614906832298,161
Central,0.8878048780487805,0.4634146341463415,205
Eastern,0.6395939086294417,0.4873096446700508,197
Greater Accra,0.4437869822485207,0.3668639053254438,338
Western,0.8679245283018868,0.4339622641509434,106
Western North,0.8545454545454545,0.43636363636363634,55
