resp_id,urban_rural,region,ethnicity,vote
GHA0302,Rural,Western North,Akan,National Democratic Congress (NDC)
GHA0305,Urban,Ashanti,Akan,National Democratic Congress (NDC)
GHA0307,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0313,Rural,Western,Akan,New Patriotic Party (NPP)
GHA0317,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0319,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0320,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA0321,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0323,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0324,Urban,Ashanti,Akan,New Patriotic Party (NPP)
GHA0326,Rural,Brong-Ahafo,Ewe_Ga,National Democratic Congress (NDC)
GHA0331,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0332,Rural,Central,Akan,National Democratic Congress (NDC)
GHA0337,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA0339,Rural,Eastern,Ewe_Ga,National Democratic Congress (NDC)
GHA0343,Rural,Eastern,Ewe_Ga,National Democratic Congress (NDC)
GHA0349,Urban,Ashanti,Akan,National Democratic Congress (NDC)
GHA0350,Urban,Ashanti,Akan,National Democratic Congress (NDC)
GHA0351,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0353,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA0360,Rural,Eastern,Ewe_Ga,National Democratic Congress (NDC)
GHA0361,Rural,Eastern,Ewe_Ga,National Democratic Congress (NDC)
GHA0365,Rural,Brong-Ahafo,Ewe_Ga,National Democratic Congress (NDC)
GHA0367,Urban,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA0375,Urban,Greater Accra,Ewe_Ga,National Democratic Congress (NDC)
GHA0379,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0382,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0385,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0386,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0387,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0388,Rural,Central,Akan,National Democratic Congress (NDC)
GHA0390,Rural,Central,Ewe_Ga,National Democratic Congress (NDC)
GHA0392,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0393,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0394,Urban,Western North,Ewe_Ga,National Democratic Congress (NDC)
GHA0395,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0399,Urban,Western North,Akan,National Democratic Congress (NDC)
GHA0400,Urban,Western,Akan,New Patriotic Party (NPP)
GHA0401,Rural,Ashanti,Ewe_Ga,New Patriotic Party (NPP)
GHA0407,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA0409,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0410,Urban,Western,Akan,New Patriotic Party (NPP)
GHA0425,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0429,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA0435,Rural,Ashanti,Akan,National Democratic Congress (NDC)
GHA0436,Urban,Western North,Akan,New Patriotic Party (NPP)
GHA0438,Rural,Central,Akan,National Democratic Congress (NDC)
GHA0440,Urban,Greater Accra,Akan,National Democratic Congress (NDC)
GHA0446,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0449,Urban,Western,Akan,New Patriotic Party (NPP)
GHA0453,Rural,Eastern,Akan,New Patriotic Party (NPP)
GHA0454,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0456,Rural,Eastern,Akan,New Patriotic Party (NPP)
GHA0475,Rural,Eastern,Akan,New Patriotic Party (NPP)
GHA0476,Rural,Eastern,Akan,New Patriotic Party (NPP)
GHA0485,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0487,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0496,Rural,Central,Akan,National Democratic Congress (NDC)
GHA0497,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0498,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0501,Rural,Ashanti,Ewe_Ga,National Democratic Congress (NDC)
GHA0503,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0505,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0506,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0513,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0515,Urban,Greater Accra,Akan,New Patriotic Party (NPP)
GHA0517,Urban,Western North,Akan,New Patriotic Party (NPP)
GHA0518,Urban,Western North,Akan,New Patriotic Party (NPP)
GHA0519,Urban,Western,Akan,New Patriotic Party (NPP)
GHA0522,Rural,Eastern,Akan,New Patriotic Party (NPP)
GHA0524,Rural,Eastern,Akan,National Democratic Congress (NDC)
GHA0526,Rural,Eastern,Akan,New Patriotic Party (NPP)
GHA0527,Urban,Western North,Akan,New Patriotic Party (NPP)
GHA0528,Rural,Central,Akan,New Patriotic Party (NPP)
GHA0530,Rural,Brong-Ahafo,Akan,New Patriotic Party (NPP)
GHA0532,Rural,Ashanti,Akan,New Patriotic Party (NPP)
GHA0533,Rural,Brong-Ahafo,Akan,New Patriotic Party (NPP)
