name,suspensions,expulsions,charter
Thurgood Marshall Academy PCS,0,0,TRUE
Capital City PCS Lower,0,0,TRUE
Capital City PCS Middle,14,0,TRUE
Capital City PCS High,36,0,TRUE
Paul PCS Middle School,0,2,TRUE
Paul PCS International High School,0,3,TRUE
DC Bilingual PCS,6,0,TRUE
EL Haynes PCS Middle,0,2,TRUE
EL Haynes PCS High,0,4,TRUE
EL Haynes PCS Elementary,0,0,TRUE
Mary McLeod Bethune Day Academy PCS,30,0,TRUE
Mary McLeod Bethune Day Academy PCS Crestwood,28,0,TRUE
Two Rivers PCS 4th St,8,0,TRUE
Two Rivers PCS Young,0,0,TRUE
DC Preparatory Academy PCS Edgewood Middle,0,0,TRUE
DC Preparatory Academy PCS Benning Elementary,0,0,TRUE
DC Preparatory Academy PCS Edgewood Elementary,0,0,TRUE
DC Preparatory Academy PCS Benning Middle,0,1,TRUE
DC Preparatory Academy PCS Anacostia Elementary,0,0,TRUE
Eagle Academy PCS Congress Heights,0,0,TRUE
Eagle Academy PCS Capitol Riverfront,0,0,TRUE
Hope Community PCS Lamond,0,0,TRUE
Hope Community PCS Tolson,0,0,TRUE
Bridges PCS,32,0,TRUE
Early Childhood Academy PCS,0,0,TRUE
Howard University Middle School of Math and Science PCS,32,0,TRUE
YouthBuild DC PCS,0,0,TRUE
St Coletta Special Education PCS,0,0,TRUE
Achievement Preparatory PCS Middle School,0,0,TRUE
Achievement Preparatory PCS Elementary,0,2,TRUE
Center City PCS Capitol Hill,4,0,TRUE
Center City PCS Petworth,9,1,TRUE
Center City PCS Brightwood,1,0,TRUE
Center City PCS Trinidad,2,1,TRUE
Center City PCS Shaw,16,0,TRUE
Center City PCS Congress Heights,1,0,TRUE
Washington Yu Ying PCS,1,0,TRUE
Inspired Teaching Demonstration PCS,5,0,TRUE
Shining Stars Montessori Academy PCS,3,0,TRUE
Richard Wright PCS for Journalism and Media Arts,36,0,TRUE
BASIS DC PCS,30,0,TRUE
Creative Minds International PCS,0,0,TRUE
DC Scholars PCS,0,0,TRUE
Mundo Verde Bilingual PCS,1,0,TRUE
Sela PCS,0,0,TRUE
Somerset Preparatory Academy PCS,10,6,TRUE
Ingenuity Prep PCS,0,0,TRUE
Latin America Youth Center Career Academy,0,3,TRUE
Lee Montessori PCS,0,0,TRUE
Democracy Prep Congress Heights PCS,0,0,TRUE
Harmony DC PCS School of Excellence,5,0,TRUE
District of Columbia International School,71,5,FALSE
Kingsman Academy PCS,0,0,TRUE
Monument Academy PCS,0,0,TRUE
The Childrens Guild PCS,0,0,TRUE
Washington Global PCS,11,0,TRUE
Washington Leadership Academy PCS,0,0,TRUE
Breakthrough Montessori PCS,0,0,TRUE
Rocketship DC PCS Rise Academy,0,0,TRUE
Rocketship Legacy Prep,0,0,TRUE
