id8102,year,poor_support,mid_support,rich_support,question_text,policy_change
454,1986,0.4958332180976867,0.516236424446106,0.3784927129745483,"Now let me ask you about some specific provisions of the tax reform bill that has been passed by the House of Representatives. For each provision, tell me if you favor or oppose it.  READ EACH ITEM Item: Repealing the investment tax credit for business",1
456,1986,0.3765510320663452,0.384051501750946,0.2838666439056396,"Now let me ask you about some changes that Republicans say they will try to make in the tax reform bill in the Senate.  For each, tell me if you favor or oppose it. READ EACH ITEM Item: Raise the personal exemption for individuals to $2,000, even if this means possibly increasing the federal deficit as a result",1
459,1986,0.4818257093429565,0.3324087262153625,0.3136500716209411,"Now let me ask you about some changes that Republicans say they will try to make in the tax reform bill in the Senate.  For each, tell me if you favor or oppose it. READ EACH ITEM Item: Eliminate the deduction allowed for state and local taxes paid",0
462,1986,0.2407537698745727,0.327334463596344,0.3914262652397156,"As part of cutting the federal deficit, Congress and President Reagan both want to end all federal revenue sharing with the states and local governments. Do you favor or oppose that cut?",1
471,1986,0.3732175230979919,0.4546049237251282,0.4664524793624878,"As part of cutting the federal deficit, Congress and the President both want to cut spending for assistance to public transportation systems by 10%. Do you favor or oppose such a cut in assistance to public transportation systems?",1
475,1986,0.4873493909835815,0.5770114660263062,0.6426353454589844,Do you favor or oppose busing of school children to achieve racial balance?,0
477,1986,0.6335256099700928,0.7153557538986206,0.725722074508667,Congress has delayed passing a bill that will extend the super-fund hazardous waste cleanup program for five years at a cost of $10 billion. Do you favor or oppose Congress passing such a super-fund hazardous waste cleanup program appropriation of $10 billion?,1
484,1986,0.6809017658233643,0.7744051218032837,0.6875318288803101,"Some members of Congress now feel that political action committees (PACs) have too much power over both elections and the federal government after the elections. Therefore, they are proposing some changes in the current laws governing political contributions.  Would you favor or oppose (READ EACH ITEM)? Item: Limiting the amount that a candidate for the U.S. Senate can spend from $175,000 in the smallest states to $750,000 in the biggest states",0
485,1986,0.4862928390502929,0.5217308402061462,0.4303241968154907,"Now let me ask you about some changes in federal income taxes that are in both the Senate and House tax reform bills. For each, tell me if you favor or oppose that provision. ASK EACH ITEM AND RECORD BELOW Item: The investment tax credit for corporations would be repealed",1
486,1986,0.4341908097267151,0.4617647528648376,0.4556997418403625,"If it came to it, would you favor having all federal elections financed out of public funds, with strictly enforced limits on how much each candidate for President, U.S. Senator, or Congressman could spend, or would you oppose using public funds to finance all federal elections?",0
487,1986,0.8607585430145264,0.7224487662315369,0.6507498025894165,"Now let me ask you about some changes in federal income taxes that are in both the Senate and House tax reform bills. For each, tell me if you favor or oppose that provision. ASK EACH ITEM AND RECORD BELOW Item: All households with incomes below $14,800 would no longer pay federal income taxes",1
488,1986,0.741141140460968,0.8212844133377075,0.726136326789856,"Some members of Congress now feel that political action committees (PACs) have too much power over both elections and the federal government after the elections. Therefore, they are proposing some changes in the current laws governing political contributions.  Would you favor or oppose (READ EACH ITEM)? Item: Cutting the maximum amount any political action committee can contribute to a federal candidate from $5,000 down to $3,000",0
489,1986,0.2311097383499145,0.1878936886787414,0.1461084485054016,"Now let me ask you about some changes in federal income taxes that are in both the Senate and House tax reform bills. For each, tell me if you favor or oppose that provision. ASK EACH ITEM AND RECORD BELOW Item: Keep full deduction of all interest paid on mortgages for first and second homes",0
490,1986,0.56706702709198,0.6885489225387573,0.6756799221038818,"Some members of Congress now feel that political action committees (PACs) have too much power over both elections and the federal government after the elections. Therefore, they are proposing some changes in the current laws governing political contributions.  Would you favor or oppose (READ EACH ITEM)? Item: Raising individual donations to a new ceiling, from $1,000 to $1,500, since company and union political action committees would have to spend less",0
