age,L,M,S
2,1.0069864635,85.71387806499999,0.040556461
3,0.07553128549999999,94.743474075,0.0412758145
4,0.526671366,101.77220025,0.042302082000000005
5,0.6043187255000001,108.5658736,0.0434349495
6,0.4591868695,115.333192,0.0443184975
7,0.271516772,121.8961093,0.044932038
8,0.18799222100000001,127.97499314999999,0.045547628500000006
9,0.2499179615,133.4324143,0.046550519
10,0.395156517,138.5172833,0.0481573055
11,0.6161145135,143.995658,0.049730965
12,0.8619819185,150.3976907,0.0492735685
