precinct_id,nvoter,nazivote,share_unemp,share_ind_worker,share_ag_worker,share_employer
0,20724,8915,0.0817086222843899,0.5047387000105752,0.25649879013064947,0.1570538875743855
1,61024,20388,0.0923188519017714,0.41526569675147607,0.2974396099857756,0.1949758413609769
2,31741,9670,0.07308312871928657,0.30673936859515405,0.3963277107098402,0.22384979197571914
3,67591,26634,0.09770127273313425,0.5053143234823682,0.2320967335717212,0.1648876702127765
4,226176,100041,0.33396339114914714,0.39614077129043673,0.10663724973000065,0.1632585878304155
5,30835,15255,0.07323747595273018,0.32256440700657935,0.37657754015233674,0.22762057688835385
6,32939,15791,0.07456048577085814,0.4135905523130874,0.31533214271012033,0.19651681920593408
7,57187,25943,0.08976860177753632,0.4797070681794258,0.25775974947320984,0.17276458056982819
8,23404,13104,0.054873658639919616,0.46707021219556977,0.2958354011593085,0.1822207280052021
9,30513,14507,0.11383776665461474,0.5294841046911144,0.2087197563593088,0.14795837229496211
10,27742,12908,0.09834707511303722,0.4617631347797031,0.26754820425596587,0.17234158585129375
11,24094,11914,0.09855687475750227,0.3992057296742474,0.30764062881398646,0.19459676675426382
12,26651,14212,0.07780646258619689,0.3024690896379133,0.38305098906321045,0.23667345871267936
13,77067,37265,0.06447771434493611,0.44797980410851096,0.2992956210567882,0.1882468604897648
14,27618,12047,0.30424008890197207,0.37726838310223254,0.12879522515678624,0.18969630283900915
15,23822,14905,0.05205521279404989,0.31242941407569136,0.40313311588934314,0.23238225724091566
16,60257,33669,0.05738690930608249,0.32572487612056666,0.37929317754332303,0.23759503703002777
17,75824,37760,0.14774690591006356,0.3550268340237514,0.28398199735771207,0.21324426270847305
18,32778,12242,0.08343134372243459,0.23440404470107876,0.45530736683620376,0.2268572447402829
19,26276,9897,0.2487395111852557,0.42781518228486426,0.13546217160271692,0.187983134927163
20,30880,20064,0.06978569082849767,0.29056441505071884,0.4277808418065514,0.21186905231423214
21,27263,16699,0.062196125684899954,0.38624389910856116,0.3413695156198463,0.21019045958669272
22,34392,24055,0.07340508231516943,0.3094757111315139,0.3899857902243193,0.22713341632899753
23,22402,15859,0.0635451889470542,0.3119139658961746,0.4130160013819748,0.21152484377479644
24,41443,26633,0.08260802761260111,0.22632802590753628,0.4464302030970548,0.24463374338280777
25,45140,23667,0.083169034443091,0.38484526687386217,0.3421360831952852,0.18984961548776164
26,30589,9951,0.09868749085021916,0.3223117943904308,0.36518529920859777,0.21381541555075223
27,31380,18794,0.08181703251848763,0.3415976336356477,0.3696264495226651,0.2069588843231995
28,15984,7348,0.07485771004908946,0.38705958783382144,0.3348976368637181,0.20318506525337104
29,51441,20623,0.39326242724924343,0.3925507474861127,0.08504999361946541,0.12913683164517853
30,26777,12866,0.1620178553719415,0.47425811431748083,0.2004450847258318,0.1632789455847459
31,26883,13982,0.12936291891575186,0.3753344978697715,0.2911234636476797,0.20417911956679705
32,35805,20009,0.09787474187505421,0.3874258804931868,0.3198370400959584,0.1948623375358006
33,22064,7215,0.11162010408033984,0.457747838107585,0.2629232624242838,0.16770879538779138
34,217223,64730,0.44189807300238254,0.322686496521919,0.07213305755633034,0.16328237291936817
35,436417,116065,0.4352560216799398,0.39802943815017766,0.04934107794748232,0.11737346222240023
36,482382,144590,0.38488549300915625,0.34337188962127674,0.0888067024939347,0.1829359148756322
37,310835,85388,0.4209124492745456,0.3903727566063866,0.05686685775938422,0.13184793635968375
38,224209,64143,0.359361176268318,0.36837013416190334,0.10078273535533039,0.17148595421444818
39,282617,93032,0.3358735083601777,0.3080119393638862,0.13951740976813393,0.2165971425078021
40,68885,23690,0.36473438839822714,0.3941123685956682,0.08837637481792526,0.15277686818817945
41,110164,40750,0.3551492644372403,0.4749849598321516,0.059791931588335186,0.11007384414227288
42,152720,63413,0.2801305261021221,0.32063756413801375,0.16618446793647806,0.23304744182338616
43,341716,97601,0.402466723898131,0.4072207135880815,0.05883569452572976,0.131476867988058
44,165226,53505,0.24599427934237644,0.21844921085892685,0.22820184583031758,0.3073546639683791
45,50393,17578,0.1574811215094008,0.27769263589846555,0.30942606878766676,0.25540017380446683
46,107355,36939,0.3927000307314864,0.3909751297527871,0.07272533498604244,0.14359950452968415
47,394885,100652,0.4635466151622329,0.3842720501907244,0.04623865971815813,0.10594267492888458
48,98065,30263,0.3922551290017057,0.42901322659069835,0.05756697520318437,0.12116466920441155
49,44262,22484,0.11885989229203756,0.4507253619703229,0.2542413686522969,0.17617337708534253
50,22520,10011,0.32735066313950595,0.411074882932247,0.10075463481546486,0.1608198191127822
51,55783,23946,0.16696295644500875,0.3875963148070362,0.25575222065428754,0.18968850809366758
52,133250,50241,0.2672040095022886,0.42118627962222605,0.13930633292774783,0.1723033779477374
53,59534,25536,0.17370355633784684,0.4693097956307574,0.19050911055616299,0.16647753747523278
54,147400,59041,0.20186652649878167,0.48603383109524056,0.16000604209000086,0.15209360031597688
55,48447,28505,0.056419816061240864,0.4211757061389397,0.3081388958432188,0.21426558195660075
56,159932,60740,0.21770865515467583,0.4280716298226974,0.177144720152507,0.1770749948701196
57,39840,20033,0.10815484144669474,0.5548290159554732,0.1905674355993148,0.14644870699851725
58,20869,6936,0.23572081629725364,0.5085400250095433,0.0948577174231217,0.16088144127008128
59,55076,28506,0.09789430853298206,0.4143092650781669,0.2818515380491335,0.2059448883397176
60,37861,16864,0.10327597000751881,0.4746398191675039,0.23970171258284848,0.1823824982421289
61,42797,23359,0.06771498847214216,0.3816751765637261,0.32191911922999467,0.22869071573413705
62,18503,7843,0.3206344844060628,0.359901227453662,0.11168899978715985,0.2077752883531154
63,69094,34521,0.0824634007447604,0.3327872711735068,0.35473181027941175,0.23001751780232102
64,29627,15920,0.10325771963192126,0.4526371565769806,0.2662885171059433,0.1778166066851548
65,72754,29872,0.1613229459253522,0.4659560641524547,0.21657272493655122,0.15614826498564188
66,39172,21291,0.0972504763192636,0.32487904568823855,0.35453791111969357,0.22333256687280417
67,39907,17113,0.25442551667223456,0.42091755068860137,0.10956317528274134,0.21509375735642272
68,40141,22540,0.12672858350427765,0.2753698050427226,0.36346745058767155,0.2344341608653282
69,28475,10764,0.16678489105110342,0.589364601568764,0.09773652146441608,0.1461139859157165
70,55582,28205,0.29947570336374085,0.4190178550917498,0.11193814833030771,0.16956829321420158
71,36828,21003,0.1340119099708631,0.3219343233374534,0.31883646880428823,0.2252172978873952
72,31362,17586,0.09758874046966051,0.3266376697175817,0.35115679183849013,0.2246167979742676
73,32126,12894,0.21862414856767362,0.5346999183674442,0.09981866720094548,0.14685726586393658
74,66636,32142,0.1360220644926338,0.4275311338186162,0.2443635564474696,0.19208324524128048
75,37705,21246,0.09048585112005463,0.31473330439267594,0.3522341515700272,0.2425466929172423
76,31747,15055,0.2909078922936973,0.41623302558469377,0.11257803589065846,0.18028104623095034
77,111611,49508,0.12917522277326324,0.4432257981221201,0.2461470622994908,0.1814519168051258
78,22447,13750,0.06169282826458194,0.23796667459403636,0.4275651841755096,0.2727753129658722
79,52158,25006,0.13458369304197396,0.34702466042040003,0.3059506791592,0.2124409673784261
80,28281,16042,0.07988913659783992,0.3683749619895697,0.3219391333367779,0.22979676807581248
81,33158,18636,0.10156180607116233,0.4223749999732461,0.28448345422164506,0.19157973973394657
82,61282,29474,0.132520158303621,0.4357653122003948,0.24536248021314633,0.18635204928283783
83,29487,11202,0.21043538136193998,0.4943351749588746,0.16105266119394404,0.13417678248524148
84,30709,15869,0.10982819704048107,0.398533767995819,0.3066208516946804,0.1850171832690195
85,41378,22936,0.09090908086743703,0.3772098680256559,0.31530158566049415,0.2165794654464129
86,43288,18794,0.1066370520332228,0.39105687760444524,0.3161819680281303,0.18612410233420154
87,25511,13496,0.0781634582188979,0.2930628055712037,0.40865022839211623,0.22012350781778206
88,12841,6324,0.11762099616517549,0.33517575156548424,0.32367894352933735,0.22352430874000298
89,21749,9562,0.10915998495261153,0.3844610003806953,0.30074546819209413,0.20563354647459894
90,27664,15320,0.13388513266080795,0.24190382490694154,0.38572164659626657,0.23848939583598394
91,35741,16175,0.10798633404019949,0.3260742279318335,0.35815280666341803,0.20778663136454897
92,28019,14422,0.3618403744336148,0.3535050813298897,0.12578139011340617,0.15887315412308942
93,13668,4939,0.10671259026346261,0.41265054468038015,0.28539155558351664,0.1952453094726406
94,56799,31492,0.06532966899598415,0.39620509141514804,0.33510271561919297,0.2033625239696748
95,32236,16247,0.08412898964729167,0.505293497802999,0.23097645914950374,0.17960105340020563
96,47762,21169,0.11874563754577218,0.5162816267410585,0.20074104297938505,0.16423169273378438
97,21012,8349,0.25033486109022723,0.37988553788796064,0.15024960863131695,0.21952999239049528
98,25048,11337,0.07343041096507069,0.4960596956695558,0.2514482866541121,0.17906160671126117
99,68263,37089,0.05985501052672333,0.3936899861366766,0.33217348278295206,0.214281520553648
100,31458,17701,0.049874868426882345,0.5318523086108503,0.256267332486505,0.16200549047576238
101,53762,28578,0.09701861155303458,0.5512703270508165,0.19494782558783824,0.1567632358083106
102,313870,130626,0.2603500340450435,0.41671246821137164,0.15453230795098827,0.16840518979259667
103,29304,13408,0.2991000965816366,0.36928082886803,0.12682450873418696,0.20479456581614644
104,38992,17416,0.2120275313144781,0.3112543221234772,0.26361685085714726,0.21310129570489755
105,46432,22678,0.12299573801059953,0.3404138700049049,0.27425659666956154,0.26233379531493395
106,48870,27268,0.08540944450164972,0.4282989177643477,0.2967577154504387,0.18953392228356386
107,16995,8711,0.11256656486566678,0.278018772648899,0.40335651903192676,0.20605814345350748
108,26388,15538,0.09613238665000448,0.3992253899156995,0.3083452790684829,0.19629694436581305
109,47676,24077,0.14284766980628683,0.34324415645565803,0.3054179025695075,0.2084902711685477
110,29270,16526,0.06867473751479763,0.3481481286355301,0.37153058283858603,0.21164655101108631
111,20445,8790,0.33283379679872865,0.3639867824946696,0.12900118300338315,0.17417823770321864
112,119758,58618,0.12196848775242733,0.3626923192916727,0.33341891182221756,0.1819202811336824
113,52476,30323,0.0788995567959803,0.3542044680553143,0.36192569463779595,0.20497028051090943
114,73992,39021,0.07521266971110319,0.3261175710162512,0.3766873232968996,0.22198243597574593
115,27908,12133,0.1040949535257483,0.4881362349393675,0.2345005875289158,0.17326822400596845
116,33112,15641,0.07846982527068806,0.497145794615497,0.2180710403609092,0.20631333975290572
117,96153,44324,0.14953477312430397,0.4806709277538299,0.21510427833454193,0.15469002078732413
118,479621,201309,0.42356153894298165,0.3228761391141941,0.10128351743431639,0.15227880450850784
119,56725,30861,0.1566023875484728,0.3550033591830161,0.2931140299774616,0.19528022329104944
120,19224,8800,0.380829754206163,0.35330234483323025,0.10882264683864315,0.15704525412196366
121,47659,19314,0.15609229722353576,0.3564899898150549,0.2783251236972301,0.20909258926417917
122,79738,26594,0.21411609396893666,0.35492189885747455,0.24421801743313798,0.1867439897404508
123,17446,8144,0.12301139810635578,0.3021884028755503,0.34573151941100494,0.22906867960708893
124,25102,15647,0.0771175167335199,0.3738415071308321,0.3233880267736318,0.22565294936201627
125,34996,15912,0.11022203094781714,0.2870418626215707,0.35105831746733607,0.25167778896327603
126,30094,17374,0.07191589154221316,0.3102338724607039,0.3766144905028205,0.2412357454942625
127,19200,8974,0.09122071273572928,0.4071658916638036,0.3020301586393255,0.19958323696114164
128,35203,17052,0.12811955134115868,0.4399821579171523,0.25494126394432687,0.1769570267973621
129,43780,25400,0.11004568055770965,0.42636805515585735,0.2787257641948258,0.18486050009160715
130,56405,24643,0.22289472671289887,0.4783989930936494,0.15502766789800734,0.14367861229544432
131,59576,23551,0.25534920886009993,0.4255652307841499,0.17834078593357447,0.14074477442217573
132,22353,9261,0.3325612262618157,0.3872605536192919,0.1230289231689636,0.1571492969499287
133,36102,20129,0.08512294929041407,0.3816624368570451,0.3212047305368821,0.21200988331565881
134,88503,35930,0.2565720070744105,0.4957423230617764,0.12983236141862425,0.11785330844518892
135,32073,12758,0.2894720067317922,0.5079301956743926,0.09111680964755038,0.11148098794626478
136,40237,22260,0.10447262758133287,0.35864382870720957,0.3090884290372675,0.22779511467419003
137,45603,21035,0.16811124617475934,0.3619482086191259,0.2738826308099713,0.1960579143961435
138,77450,37096,0.13762905394875313,0.37344362601321357,0.2793483913784257,0.2095789286596075
139,102981,52411,0.13225844174733536,0.39164792414491395,0.27873658072695395,0.19735705338079676
140,19485,8080,0.2816654876512764,0.3836015816456754,0.1390249532806475,0.19570797742240065
141,109400,49179,0.2500978482000652,0.38594425395333615,0.18005419266540648,0.18390370518119217
142,56216,26407,0.22155382166239615,0.347764720667535,0.23962833323590313,0.19105312443416575
143,21879,9856,0.2977038972805266,0.3365901152490676,0.16267705384383002,0.20302893362657565
144,35780,15419,0.13872735516707604,0.37572657702704176,0.30109971135540003,0.18444635645048216
145,49711,26103,0.15708975748015255,0.41110446288424013,0.23694563368666346,0.19486014594894385
146,145994,76232,0.13939527722711395,0.4091257321014823,0.2609623534817806,0.19051663718962314
